fips,hh_size,hh_income,cost_housing,n_vehicles,hh_share_nonwhite,i_renter,i_moved,i_foodstamp,i_smartphone,i_internet,time_commuting
19000,1,1.8,930,3,0,1,0,0,1,1,70
06059,3,8.32,1900,3,1,0,0,0,1,1,23.333333333333332
04019,1,1.9,650,1,1,1,0,0,1,1,80
25000,3,3.436,850,1,0.6666666666666666,1,1,1,1,1,10
13000,2,6.13,550,2,0,1,0,0,0,0,110
42029,2,13.8,1200,2,0,0,0,0,1,1,65
06037,2,7.4,1100,2,1,1,0,0,1,1,25
17031,1,17,5600,1,0,0,1,0,1,1,20
06037,3,78.5,2000,4,0,0,0,0,1,1,20
25000,3,66,2800,3,0,0,1,0,1,1,33.333333333333336
41029,2,11.764,1700,2,0,0,0,0,1,1,17
48309,3,11,1100,3,0,0,0,0,1,1,40
48251,4,9.022,700,3,0,0,1,0,1,1,27.5
29510,1,3.6,910,1,0,0,0,0,1,1,30
26000,3,4.16,530,2,0,0,0,0,1,1,16.666666666666668
26115,4,8.08,1000,4,0,0,0,0,0,1,37.5
24510,2,3.92,1300,1,1,1,0,0,1,1,45
37000,4,15.78,600,6,0,1,1,0,1,1,47.5
06065,6,6.1,1400,5,0,0,0,0,1,1,40
04013,5,16.4,1200,2,1,0,1,0,1,1,12
08000,3,12.7,1700,3,0,0,1,0,1,1,33.333333333333336
06037,3,7.43,1300,2,1,1,1,0,1,1,20
40109,4,14.1,2300,3,0,0,0,0,1,1,15
06037,4,10.316,900,2,1,1,0,0,1,1,17.5
26000,2,5.73,910,3,0,0,0,0,1,1,15
53053,2,34.18,1500,2,0,0,0,0,1,1,5
34039,2,5.24,1600,1,1,1,0,0,1,1,30
17197,2,7.23,730,1,0,1,0,0,1,1,20
12057,7,18.6,1600,2,0,0,0,0,1,1,27.142857142857142
12000,2,5.65,830,2,0,0,0,0,1,1,60
19000,2,5.05,420,2,0,0,0,1,1,1,30
30000,3,7.57,950,3,0,1,1,0,1,1,10.666666666666666
36000,5,9.28,620,2,0,0,0,0,1,1,8
24510,9,10.72,1000,0,1,1,0,1,1,1,13.333333333333334
06071,3,13,750,2,0,0,0,0,1,1,66.66666666666667
26145,4,9,1000,3,0,0,0,0,1,1,22.5
06019,7,15,2800,4,1,0,0,1,1,1,8.571428571428571
27000,1,3.6,300,1,0,0,1,0,1,1,20
12011,4,3.899,1700,4,0,1,0,0,1,1,5
06085,1,9.6,1500,1,0,1,0,0,1,1,30
06037,3,4.9,1400,1,0,1,0,0,1,1,40
48309,5,4.08,650,1,0,1,0,1,1,1,14
51000,4,18.5,2400,4,1,0,0,0,1,1,52.5
49057,6,9.09,910,2,0,0,0,0,1,1,2.3333333333333335
15000,1,8,1300,1,1,0,0,0,1,1,60
20000,2,5.11,1500,2,0,0,0,0,1,1,25
18000,2,15.27,3500,4,0,0,0,0,1,1,30
45000,2,3.57,620,3,0,0,0,0,1,1,20
40000,2,7.2,700,2,0,1,1,0,1,1,45
48113,1,12.4,1200,1,0,0,0,0,1,1,70
42003,1,4.6,600,1,0,1,0,0,0,0,60
53053,2,6.9,1500,1,0,1,0,0,1,1,2
12011,1,20.18,2100,2,0,0,0,0,1,1,70
34017,4,11.67,2200,2,1,0,0,0,1,1,35
51000,5,21.1,5800,2,0,0,0,0,1,1,46
22005,4,13.7,2000,2,0,0,0,0,1,1,12.5
06059,5,15.11,3100,4,0,0,0,0,1,1,16.8
01000,1,6,330,1,1,1,0,0,1,1,10
25000,2,2.22,860,1,0,1,0,0,1,1,35
09001,4,31.75,7400,3,0,0,0,0,1,1,10
13000,2,7.8,450,2,0,1,0,0,1,1,70
29000,4,15.002,1200,3,0,0,0,0,1,1,22.5
39049,1,2.7,950,1,0,1,1,0,1,1,60
17000,1,1.77,400,0,0,0,0,0,0,1,30
53061,2,28,1300,2,0,0,0,0,1,1,60
39000,4,3.22,450,2,0,1,0,0,1,1,12.5
35043,2,16.5,1800,2,0,0,0,0,1,1,40
06073,2,7.6,1500,3,0,1,1,0,1,1,30
55127,2,25.05,1000,2,0,0,0,0,1,1,10
24003,2,35.3,2300,2,0,0,0,0,1,1,35
08000,2,1.2,600,1,0,1,0,0,1,0,17
34031,4,7,1500,1,1,1,0,0,1,1,30
